tile,num_images,mean_x,mean_y
7032_149721,20,351643.0,7486058.8
7003_149787,20,350151.5,7489382.8
7050_149715,19,352507.05263157893,7485792.315789473
7037_149720,19,351873.6842105263,7486004.315789473
7002_149745,19,350116.0,7487255.157894737
6974_149766,19,348733.4736842105,7488336.736842105
6996_149738,19,349843.36842105264,7486910.631578947
6962_149736,19,348119.36842105264,7486832.52631579
7038_149719,19,351908.5263157895,7485994.2105263155
7016_149758,18,350822.0,7487915.444444444
7027_149765,18,351364.77777777775,7488296.666666667
6988_149790,18,349404.22222222225,7489505.444444444
6989_149775,18,349486.1111111111,7488784.666666667
6991_149771,18,349565.8888888889,7488557.666666667
7032_149715,18,351607.55555555556,7485791.111111111
6967_149748,17,348367.8823529412,7487445.05882353
7002_149724,17,350101.29411764705,7486207.764705882
7014_149773,17,350721.4117647059,7488665.05882353
6996_149764,17,349802.82352941175,7488231.647058823
6996_149789,17,349801.8823529412,7489491.176470588
7001_149724,17,350094.35294117645,7486211.294117647
7017_149771,17,350863.17647058825,7488595.05882353
7028_149720,17,351420.0,7486045.176470588
6970_149757,17,348545.5294117647,7487862.470588235
6966_149729,17,348324.4705882353,7486475.882352941
6965_149741,17,348272.23529411765,7487092.823529412
6986_149787,17,349312.4705882353,7489352.0
6985_149771,17,349290.70588235295,7488587.764705882
6967_149749,16,348364.875,7487451.5
6980_149779,16,349006.125,7488963.375
6974_149777,16,348742.875,7488870.0
7031_149736,15,351574.6666666667,7486803.066666666
6986_149784,15,349310.13333333336,7489242.4
6986_149785,15,349317.73333333334,7489255.466666667
6981_149779,15,349092.0,7488987.066666666
6990_149766,15,349529.3333333333,7488339.866666666
6981_149777,15,349062.13333333336,7488861.066666666
6993_149761,15,349651.4666666667,7488091.733333333
6989_149771,15,349492.6666666667,7488594.0
6979_149777,14,348987.28571428574,7488872.714285715
7034_149723,14,351705.0,7486195.571428572
6973_149759,14,348654.5714285714,7487960.142857143
7018_149760,14,350905.0,7488005.142857143
7033_149714,14,351663.85714285716,7485742.285714285
7012_149707,14,350602.85714285716,7485376.142857143
6987_149784,14,349382.0,7489226.714285715
6978_149780,14,348911.28571428574,7489038.0
6981_149781,14,349082.28571428574,7489058.142857143
6964_149722,14,348241.5714285714,7486120.0
6979_149772,14,348974.5714285714,7488619.571428572
6979_149779,14,348957.28571428574,7488970.714285715
6995_149790,14,349785.85714285716,7489536.428571428
6977_149783,13,348894.0,7489158.615384615
6988_149789,13,349412.76923076925,7489480.923076923
6984_149787,13,349243.23076923075,7489366.307692308
6991_149735,13,349593.3846153846,7486752.307692308
6984_149783,13,349214.76923076925,7489194.0
6972_149778,13,348640.0,7488903.384615385
7032_149716,13,351604.46153846156,7485803.076923077
7010_149696,13,350501.6923076923,7484827.538461538
7002_149787,13,350147.3846153846,7489383.846153846
7028_149721,13,351428.76923076925,7486056.769230769
6970_149753,12,348529.1666666667,7487681.0
7017_149759,12,350894.8333333333,7487996.0
7015_149762,12,350751.3333333333,7488131.166666667
7015_149738,12,350794.8333333333,7486906.5
7010_149740,12,350501.5,7487019.333333333
6995_149764,12,349796.1666666667,7488238.166666667
6972_149777,12,348638.8333333333,7488894.666666667
6993_149768,12,349653.1666666667,7488425.166666667
6992_149768,12,349645.5,7488434.666666667
6985_149783,12,349262.3333333333,7489176.666666667
7003_149788,12,350164.6666666667,7489443.833333333
